PCL_ID,ROAD,JUNCTION,POI_DENSIT,POP_DENSIT,MIXTURE,AMENITIES,ACCESSIBIL,A_TRANSPOR,A_AMENETIE,GDP,TERTIARY,INCOME,CITY_LEVEL,BUS,EDU,GOV,CVS,DCENTER,DSUBC,DRAIL,DTRAN,DGREEN,DMALL,DHOSPITAL,Y_DP_COMME,Y_LN_DP_CO,Y_HOUSINGP,Y_WEIBO,E_NAME,CITYID
23104,6237.62,19,67,6481,1.58387,6.25,15.663,3.4,20.568,38404.0,43.22,27773.0,2,4,0.0,2,19.0,4.0,95.425,5.385,1.414,1.414,2.0,0.0,24,3.178,0.0,164,Anqing,246
23394,6632.25,47,218,6643,1.85881,11.25,15.711,2.736,20.901,38404.0,43.22,27773.0,2,14,9.0,20,2.0,1.0,99.504,4.472,1.0,3.0,1.0,0.0,1,0.0,0.0,36,Anqing,246
23395,9005.93,76,618,30798,1.89301,32.5,15.149,2.062,20.385,38404.0,43.22,27773.0,2,32,35.0,33,30.0,1.414,98.509,4.123,0.0,2.0,0.0,0.0,258,5.553,0.0,556,Anqing,246
23396,8812.76,71,272,19170,1.89236,18.75,15.25,2.5,20.35,38404.0,43.22,27773.0,2,29,9.0,18,19.0,2.236,97.514,4.0,1.0,1.0,1.0,0.0,177,5.176,0.0,562,Anqing,246
23397,6696.36,51,163,28904,1.70378,13.75,15.376,2.769,20.419,38404.0,43.22,27773.0,2,29,15.0,7,4.0,3.162,96.519,4.123,1.414,0.0,1.414,1.0,20,2.996,0.0,99,Anqing,246
23398,11743.7,56,58,10087,1.87404,7.5,15.663,3.4,20.568,38404.0,43.22,27773.0,2,20,3.0,2,5.0,4.0,95.425,5.385,1.414,1.414,2.0,0.0,11,2.398,0.0,104,Anqing,246
23399,4382.34,27,21,9306,1.80332,7.25,16.248,4.034,21.133,38404.0,43.22,27773.0,2,14,3.0,3,9.0,5.0,94.43,5.831,2.236,2.236,3.0,1.0,7,1.946,0.0,168,Anqing,246
23400,6492.27,32,21,9117,1.16997,5.0,16.693,4.616,21.523,38404.0,43.22,27773.0,2,8,0.0,1,11.0,6.0,93.434,6.403,2.828,3.162,3.606,1.414,8,2.079,0.0,46,Anqing,246
23689,9229.65,63,585,6397,1.85525,19.5,15.607,2.081,21.018,38404.0,43.22,27773.0,2,18,32.0,9,19.0,2.236,98.615,3.162,1.0,2.236,1.0,1.0,92,4.522,0.0,332,Anqing,246
23692,6244.17,27,17,7751,1.32182,4.5,15.589,2.736,20.73,38404.0,43.22,27773.0,2,17,0.0,1,0.0,4.123,95.525,4.472,1.0,1.0,2.0,1.0,2,0.693,0.0,10,Anqing,246
23694,7033.83,53,10,7012,0.409944,0.5,16.334,3.946,21.289,38404.0,43.22,27773.0,2,2,0.0,0,0.0,6.083,93.536,5.657,2.236,3.0,2.828,1.0,1,0.0,0.0,42,Anqing,246
23985,11960.4,100,477,5307,1.84286,20.25,15.566,1.618,21.145,38404.0,43.22,27773.0,2,21,24.0,15,21.0,3.162,98.732,2.236,1.0,2.828,0.0,1.0,41,3.714,0.0,437,Anqing,246
23987,9651.78,72,162,3126,1.89691,6.0,15.342,2.081,20.647,38404.0,43.22,27773.0,2,6,4.0,8,6.0,3.606,96.628,3.162,1.0,1.0,1.0,1.0,43,3.761,0.0,189,Anqing,246
23988,10657.5,52,91,3260,1.87135,9.75,15.363,1.803,20.787,38404.0,43.22,27773.0,2,16,7.0,4,12.0,4.472,95.635,3.606,0.0,1.414,1.0,1.414,18,2.89,0.0,143,Anqing,246
24285,3775.34,21,109,4401,1.592,4.75,16.249,1.618,22.101,38404.0,43.22,27773.0,2,10,3.0,0,6.0,4.0,99.85,2.236,1.0,4.243,1.414,1.0,9,2.197,0.0,31,Anqing,246
24287,11855.5,92,427,4401,1.79802,17.0,15.5,0.5,21.5,38404.0,43.22,27773.0,2,19,20.0,5,24.0,4.472,97.867,1.0,0.0,3.162,1.0,1.0,39,3.664,0.0,201,Anqing,246
24288,20993.2,156,473,4401,1.59768,9.75,15.175,1.618,20.598,38404.0,43.22,27773.0,2,10,6.0,2,21.0,4.243,96.747,2.236,1.0,2.0,0.0,0.0,177,5.176,0.0,262,Anqing,246
24289,16151.9,105,235,4187,1.67474,4.0,15.403,1.914,20.798,38404.0,43.22,27773.0,2,6,3.0,0,7.0,5.0,95.755,2.828,1.0,2.236,0.0,1.0,6,1.792,0.0,162,Anqing,246
24597,6634.63,47,62,3304,1.68068,5.0,17.257,2.618,23.112,38404.0,43.22,27773.0,2,7,2.0,2,9.0,5.099,100.975,3.0,2.236,5.657,2.828,1.0,3,1.099,0.0,30,Anqing,246
24598,5020.94,14,15,3220,0.948776,1.0,16.805,2.0,22.727,38404.0,43.22,27773.0,2,2,2.0,0,0.0,5.0,99.985,2.0,2.0,5.0,2.236,1.414,1,0.0,0.0,14,Anqing,246
24599,9699.04,55,129,4039,1.71319,8.75,16.283,1.207,22.313,38404.0,43.22,27773.0,2,10,4.0,17,4.0,5.099,98.995,1.0,1.414,4.472,2.0,1.0,4,1.386,0.0,56,Anqing,246
24600,9528.27,45,307,2950,1.5552,13.75,15.906,0.5,22.068,38404.0,43.22,27773.0,2,20,10.0,10,15.0,5.385,98.005,0.0,1.0,4.123,1.414,1.414,11,2.398,0.0,90,Anqing,246
24601,13168.6,87,200,4254,1.33717,13.5,15.327,0.707,21.175,38404.0,43.22,27773.0,2,38,3.0,0,13.0,5.0,96.876,1.414,0.0,3.0,0.0,1.0,32,3.466,0.0,213,Anqing,246
24602,11147.5,51,59,4081,0.932785,3.5,15.765,1.618,21.424,38404.0,43.22,27773.0,2,7,0.0,1,6.0,5.657,95.885,2.236,1.0,3.162,1.0,1.414,30,3.401,0.0,66,Anqing,246
24917,4202.48,21,8,5853,0.295293,0.0,19.036,4.611,24.806,38404.0,43.22,27773.0,2,0,0.0,0,0.0,6.708,103.097,5.099,4.123,7.81,5.0,1.414,3,1.099,0.0,6,Anqing,246
24922,8526.43,40,39,4401,1.31438,1.25,15.906,0.5,22.068,38404.0,43.22,27773.0,2,3,0.0,1,1.0,5.385,98.005,0.0,1.0,4.123,1.414,1.414,2,0.693,0.0,32,Anqing,246
24924,7279.75,17,7,3294,0.691234,1.0,16.231,1.707,22.041,38404.0,43.22,27773.0,2,3,0.0,1,0.0,6.403,96.026,2.0,1.414,4.123,1.414,2.236,1,0.0,0.0,17,Anqing,246
29318,9807.4,91,13,2525,1.17221,0.0,10.541,2.699,13.678,24131.0,39.53,32520.0,2,0,0.0,0,0.0,2.236,61.741,3.162,2.236,1.414,2.0,1.0,2,0.693,0.0,18,Chizhou,257
29983,11027.5,90,521,8312,1.73036,14.25,10.771,3.415,13.713,24131.0,39.53,32520.0,2,25,12.0,10,10.0,1.0,64.405,5.831,1.0,3.162,0.0,0.0,48,3.871,0.0,149,Chizhou,257
29984,18725.7,206,761,6399,1.746,27.75,10.392,3.5,13.148,24131.0,39.53,32520.0,2,63,10.0,10,28.0,0.0,63.506,5.0,2.0,2.236,0.0,0.0,285,5.652,0.0,396,Chizhou,257
30316,11737.4,107,547,9047,1.86389,26.0,10.811,3.946,13.556,24131.0,39.53,32520.0,2,47,31.0,18,8.0,1.0,63.953,5.657,2.236,2.828,0.0,0.0,28,3.332,0.0,443,Chizhou,257
30317,14787.2,149,1075,9047,1.86658,50.75,10.982,4.081,13.743,24131.0,39.53,32520.0,2,84,49.0,42,28.0,1.414,63.063,5.0,3.162,2.236,1.0,1.0,358,5.881,0.0,374,Chizhou,257
30650,15191.1,172,440,9047,1.68909,13.75,11.38,4.32,14.204,24131.0,39.53,32520.0,2,38,2.0,8,7.0,2.0,64.413,6.403,2.236,3.606,1.0,0.0,34,3.526,0.0,110,Chizhou,257
30651,12011.9,127,257,7355,1.82564,22.5,11.476,4.497,14.268,24131.0,39.53,32520.0,2,59,3.0,17,11.0,2.236,63.53,5.831,3.162,3.162,1.414,1.0,80,4.382,0.0,235,Chizhou,257
30982,5506.11,36,52,6468,1.72118,5.75,12.282,4.405,15.433,24131.0,39.53,32520.0,2,16,1.0,6,0.0,3.162,65.765,7.81,1.0,5.0,2.236,1.0,2,0.693,0.0,13,Chizhou,257
30984,10853.2,102,104,7824,1.4191,12.75,12.093,4.854,14.989,24131.0,39.53,32520.0,2,14,2.0,26,9.0,3.162,64.008,6.708,3.0,4.123,2.236,1.414,14,2.639,0.0,62,Chizhou,257
30985,12159.8,105,28,7138,1.7337,6.25,12.304,5.162,15.161,24131.0,39.53,32520.0,2,18,2.0,3,2.0,3.606,63.135,6.325,4.0,4.0,2.828,2.236,6,1.792,0.0,29,Chizhou,257
31656,7930.51,37,15,3936,0.496303,2.5,15.132,7.165,18.32,24131.0,39.53,32520.0,2,4,0.0,6,0.0,9.434,59.076,8.944,5.385,8.485,8.602,6.0,1,0.0,0.0,6,Chizhou,257
73692,14574.0,104,698,19098,1.79038,27.25,9.365,2.081,12.279,97325.0,28.91,43421.2,2,63,29.0,16,1.0,2.828,57.567,3.162,1.0,1.0,0.0,0.0,232,5.447,0.0,427,Ma'anshan,243
73693,14346.1,135,392,19323,1.84502,21.5,9.648,2.118,12.66,97325.0,28.91,43421.2,2,41,15.0,25,5.0,3.606,57.28,2.236,2.0,1.414,1.0,0.0,2820,7.944,0.0,611,Ma'anshan,243
73694,12235.9,108,247,3752,1.88723,12.5,10.019,1.707,13.343,97325.0,28.91,43421.2,2,35,6.0,8,1.0,4.472,57.009,1.414,2.0,2.236,2.0,1.0,821,6.711,0.0,307,Ma'anshan,243
73828,8787.78,37,42,9384,0.924382,1.5,5.511,7.964,4.53,89468.0,47.49,40652.5,3,1,0.0,4,1.0,12.166,7.071,13.928,2.0,1.414,1.0,1.0,1,0.0,5384.0,85,Hefei,238
73832,18645.6,167,371,6206,1.85212,12.25,3.824,6.562,2.729,89468.0,47.49,40652.5,3,19,17.0,7,6.0,8.246,3.162,10.296,2.828,2.236,0.0,0.0,235,5.46,5384.0,203,Hefei,238
73833,15405.7,117,152,0,1.8078,7.5,3.741,5.835,2.903,89468.0,47.49,40652.5,3,10,6.0,2,12.0,7.28,2.236,9.434,2.236,3.0,1.0,1.0,653,6.482,5857.0,499,Hefei,238
73834,11306.0,89,313,7401,1.67159,4.5,3.215,5.301,2.38,89468.0,47.49,40652.5,3,9,6.0,1,2.0,6.325,1.414,8.602,2.0,3.162,1.0,0.0,55,4.007,5384.0,175,Hefei,238
73835,16798.3,129,354,9384,1.89,18.75,3.148,5.023,2.398,89468.0,47.49,40652.5,3,33,14.0,6,22.0,5.385,1.0,7.81,2.236,3.606,1.0,1.0,837,6.73,5384.0,643,Hefei,238
73836,13387.0,137,601,9384,1.78271,13.75,2.76,4.654,2.002,89468.0,47.49,40652.5,3,6,32.0,5,12.0,4.472,1.414,7.071,2.236,4.123,0.0,0.0,473,6.159,5384.0,577,Hefei,238
73837,13463.6,119,285,44627,1.80834,13.75,2.842,3.909,2.416,89468.0,47.49,40652.5,3,1,22.0,12,20.0,3.606,2.0,6.403,1.414,4.472,1.0,1.0,847,6.742,8492.0,531,Hefei,238
73838,10307.4,89,425,17095,1.80086,20.5,2.414,3.415,2.013,89468.0,47.49,40652.5,3,32,35.0,6,9.0,2.828,2.236,5.831,1.0,5.0,0.0,0.0,1914,7.557,8479.0,1800,Hefei,238
97982,4899.84,22,40,16504,1.55429,4.75,5.686,6.583,5.327,24389.0,31.53,47477.1,2,7,2.0,7,3.0,6.0,16.401,12.166,1.0,2.236,1.0,1.0,6,1.792,0.0,29,Huainan,242
97983,5755.43,23,37,16853,1.44243,5.75,5.875,6.297,5.706,24389.0,31.53,47477.1,2,20,1.0,1,1.0,6.083,17.205,11.18,1.414,2.828,1.414,1.0,57,4.043,0.0,55,Huainan,242
97984,4856.63,22,20,16819,1.32477,8.5,5.87,6.025,5.808,24389.0,31.53,47477.1,2,15,6.0,1,12.0,5.385,17.493,10.05,2.0,3.162,2.0,1.0,8,2.079,0.0,31,Huainan,242
97985,5625.28,26,34,4513,1.59445,3.0,6.397,6.028,6.545,24389.0,31.53,47477.1,2,6,3.0,1,2.0,5.831,18.358,9.055,3.0,4.123,3.0,1.414,4,1.386,0.0,43,Huainan,242
99261,860.26,1,0,4686,-1.0,0.0,9.053,10.314,8.549,24389.0,31.53,47477.1,2,0,0.0,0,0.0,10.44,14.765,16.155,4.472,6.325,5.831,5.385,1,0.0,0.0,7,Huainan,242
99587,723.78,1,0,5334,-1.0,0.25,9.71,10.969,9.206,24389.0,31.53,47477.1,2,0,0.0,0,1.0,11.402,14.318,16.553,5.385,7.28,6.708,6.325,4,1.386,0.0,5,Huainan,242
100147,6465.71,18,8,2162,0.0,0.25,35.876,64.496,24.428,11813.0,45.7,25057.6,2,1,0.0,0,0.0,8.602,86.023,122.589,6.403,21.19,3.162,3.162,1,0.0,0.0,3,Fuyang,252
100488,5304.92,11,23,2910,0.132613,1.25,35.095,64.576,23.303,11813.0,45.7,25057.6,2,2,0.0,0,3.0,6.708,88.006,124.68,4.472,18.974,1.414,1.414,1,0.0,0.0,6,Fuyang,252
100835,6212.02,14,67,2944,1.40494,5.25,34.727,64.018,23.01,11813.0,45.7,25057.6,2,11,0.0,7,3.0,6.403,87.0,123.794,4.243,19.647,1.0,1.0,5,1.609,0.0,53,Fuyang,252
100836,8370.58,38,30,2466,1.52414,4.25,34.902,63.9,23.303,11813.0,45.7,25057.6,2,10,2.0,5,0.0,7.071,86.0,122.801,5.0,20.616,1.414,1.414,2,0.693,0.0,73,Fuyang,252
101186,4981.05,24,1,6115,0.0,1.0,34.389,64.709,22.261,11813.0,45.7,25057.6,2,2,0.0,0,2.0,3.0,91.005,128.004,1.414,15.297,1.0,1.0,4,1.386,0.0,26,Fuyang,252
129085,13048.1,64,74,8515,1.57064,5.75,22.045,14.58,25.031,11465.0,40.55,23456.4,2,12,6.0,4,1.0,2.236,90.139,28.16,1.0,31.78,1.0,0.0,14,2.639,0.0,117,Suzhou,254
129086,15620.3,128,249,8515,1.62569,22.75,21.944,14.601,24.88,11465.0,40.55,23456.4,2,35,10.0,39,7.0,2.0,90.2,27.203,2.0,32.202,0.0,0.0,99,4.595,0.0,213,Suzhou,254
129087,12544.4,78,280,8515,1.83642,19.25,21.915,13.624,25.232,11465.0,40.55,23456.4,2,39,21.0,12,5.0,2.236,90.272,26.249,1.0,32.65,1.0,0.0,597,6.392,0.0,424,Suzhou,254
129088,13132.4,110,186,8515,1.80913,11.75,21.8,12.649,25.461,11465.0,40.55,23456.4,2,28,11.0,5,3.0,2.828,90.355,25.298,0.0,33.121,1.0,0.0,207,5.333,0.0,360,Suzhou,254
